id,studentId,semester
1,1a4abd0d-08c1-41f3-81f2-a3e6e315b96a,1
2,1a4abd0d-08c1-41f3-81f2-a3e6e315b96a,2
3,1a4abd0d-08c1-41f3-81f2-a3e6e315b96a,3
4,1a4abd0d-08c1-41f3-81f2-a3e6e315b96a,4
5,1a4abd0d-08c1-41f3-81f2-a3e6e315b96a,5
6,1a4abd0d-08c1-41f3-81f2-a3e6e315b96a,0
1,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,1
2,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,2
3,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,2
4,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,3
5,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,4
6,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,5
7,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,6
8,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,7
9,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,7
10,a81a40b0-e3af-4838-89d9-0d8c4c4f0dec,8
1,0d88738e-47f1-4dc6-860c-73c0126f0dfe,1
2,0d88738e-47f1-4dc6-860c-73c0126f0dfe,2
3,0d88738e-47f1-4dc6-860c-73c0126f0dfe,3
4,0d88738e-47f1-4dc6-860c-73c0126f0dfe,4
5,0d88738e-47f1-4dc6-860c-73c0126f0dfe,5
6,0d88738e-47f1-4dc6-860c-73c0126f0dfe,6
7,0d88738e-47f1-4dc6-860c-73c0126f0dfe,7
8,0d88738e-47f1-4dc6-860c-73c0126f0dfe,8
9,0d88738e-47f1-4dc6-860c-73c0126f0dfe,9
10,0d88738e-47f1-4dc6-860c-73c0126f0dfe,10
1,37530764-0e6b-4b6d-8811-5eee718bc0ed,1
2,37530764-0e6b-4b6d-8811-5eee718bc0ed,2
3,37530764-0e6b-4b6d-8811-5eee718bc0ed,3
4,37530764-0e6b-4b6d-8811-5eee718bc0ed,4
5,37530764-0e6b-4b6d-8811-5eee718bc0ed,5
6,37530764-0e6b-4b6d-8811-5eee718bc0ed,6
7,37530764-0e6b-4b6d-8811-5eee718bc0ed,7
8,37530764-0e6b-4b6d-8811-5eee718bc0ed,8
9,37530764-0e6b-4b6d-8811-5eee718bc0ed,9
10,37530764-0e6b-4b6d-8811-5eee718bc0ed,10
1,5dabac97-d335-4fa6-9450-c5392a056cbd,1
2,5dabac97-d335-4fa6-9450-c5392a056cbd,2
3,5dabac97-d335-4fa6-9450-c5392a056cbd,3
4,5dabac97-d335-4fa6-9450-c5392a056cbd,0
1,536bf303-3d91-488c-9468-779a226ece6a,1
2,536bf303-3d91-488c-9468-779a226ece6a,2
3,536bf303-3d91-488c-9468-779a226ece6a,0
1,742333ee-e6c0-42ef-9d2b-97ca93c0b871,1
2,742333ee-e6c0-42ef-9d2b-97ca93c0b871,0
1,12ac8c31-227a-4544-bba7-0b17b08bd591,1
2,12ac8c31-227a-4544-bba7-0b17b08bd591,1
3,12ac8c31-227a-4544-bba7-0b17b08bd591,1
4,12ac8c31-227a-4544-bba7-0b17b08bd591,1
5,12ac8c31-227a-4544-bba7-0b17b08bd591,2
6,12ac8c31-227a-4544-bba7-0b17b08bd591,2
7,12ac8c31-227a-4544-bba7-0b17b08bd591,2
8,12ac8c31-227a-4544-bba7-0b17b08bd591,3
9,12ac8c31-227a-4544-bba7-0b17b08bd591,3
10,12ac8c31-227a-4544-bba7-0b17b08bd591,3
1,2cbaccd2-d95b-4770-bf0f-4019ef31b90b,1
2,2cbaccd2-d95b-4770-bf0f-4019ef31b90b,2
3,2cbaccd2-d95b-4770-bf0f-4019ef31b90b,0
1,a3cd02f2-5f29-4842-b124-99b476631f32,1
2,a3cd02f2-5f29-4842-b124-99b476631f32,2
3,a3cd02f2-5f29-4842-b124-99b476631f32,2
4,a3cd02f2-5f29-4842-b124-99b476631f32,3
5,a3cd02f2-5f29-4842-b124-99b476631f32,3
6,a3cd02f2-5f29-4842-b124-99b476631f32,3
7,a3cd02f2-5f29-4842-b124-99b476631f32,3
8,a3cd02f2-5f29-4842-b124-99b476631f32,3
9,a3cd02f2-5f29-4842-b124-99b476631f32,4
10,a3cd02f2-5f29-4842-b124-99b476631f32,5
1,2714bfd6-12cb-4011-a196-1d1093c5e6a3,1
2,2714bfd6-12cb-4011-a196-1d1093c5e6a3,2
3,2714bfd6-12cb-4011-a196-1d1093c5e6a3,3
4,2714bfd6-12cb-4011-a196-1d1093c5e6a3,4
5,2714bfd6-12cb-4011-a196-1d1093c5e6a3,5
